,lat,lon,start_time,end_time,duration,severity,intensity,gpp_mean,gpp_baseline,gpp_anomaly,event_indices
4794,63.625,24.625,2018-07-16,2018-08-01,3,0.36666666666666664,0.16666666666666666,6.6406302,6.4819007,0.15872939,[852 853 854]
4795,63.625,24.625,2018-09-02,2018-09-02,1,0.13333333333333333,0.13333333333333333,4.4181695,4.0677896,0.35037994,[858]
4796,63.625,24.875,2014-04-19,2014-04-19,1,0.07142857142857142,0.07142857142857142,1.5863352,0.9286189,0.6577163,[657]
4797,63.625,24.875,2018-05-13,2018-05-21,2,0.10000000000000021,0.06666666666666678,4.0902424,2.9072962,1.1829464,[844 845]
4798,63.625,24.875,2018-07-16,2018-08-01,3,0.36666666666666664,0.16666666666666666,7.7520833,7.04932,0.7027628,[852 853 854]
4799,63.625,24.875,2018-09-02,2018-09-02,1,0.10000000000000012,0.10000000000000012,4.6358337,4.054689,0.5811448,[858]
4800,63.625,25.125,2014-04-19,2014-04-19,1,0.08461538461538462,0.08461538461538462,1.3968413,0.9575074,0.43933392,[657]
4801,63.625,25.125,2018-05-13,2018-05-21,2,0.10000000000000021,0.06666666666666678,3.9468384,2.7948716,1.1519668,[844 845]
4802,63.625,25.125,2018-07-16,2018-08-01,3,0.36666666666666664,0.16666666666666666,8.095336,7.5085177,0.5868185,[852 853 854]
4803,63.625,25.125,2018-08-25,2018-09-02,2,0.16666666666666677,0.13333333333333333,4.6607046,4.3653784,0.29532635,[857 858]
4804,63.625,25.375,2013-05-29,2013-05-29,1,0.09999999999999998,0.09999999999999998,5.4764743,4.141426,1.3350482,[616]
4805,63.625,25.375,2014-04-19,2014-04-19,1,0.07142857142857142,0.07142857142857142,1.4420284,0.88971025,0.55231816,[657]
4806,63.625,25.375,2018-05-13,2018-05-21,2,0.06666666666666687,0.03333333333333344,4.048716,2.9089847,1.1397315,[844 845]
4807,63.625,25.375,2018-07-16,2018-08-01,3,0.36666666666666664,0.16666666666666666,7.753052,7.256376,0.49667725,[852 853 854]
4808,63.625,25.375,2018-09-02,2018-09-02,1,0.09999999999999999,0.09999999999999999,4.4454756,4.0601482,0.38532734,[858]
4809,63.625,25.625,2013-05-29,2013-05-29,1,0.09999999999999998,0.09999999999999998,5.4626474,4.02049,1.4421573,[616]
4810,63.625,25.625,2018-05-13,2018-05-21,2,0.06666666666666687,0.03333333333333344,4.0839477,3.0873566,0.9965911,[844 845]
4811,63.625,25.625,2018-07-16,2018-08-01,3,0.36666666666666664,0.16666666666666666,7.0873284,6.8731627,0.21416569,[852 853 854]
4812,63.625,25.625,2018-09-02,2018-09-02,1,0.09999999999999999,0.09999999999999999,4.2728944,3.915406,0.3574884,[858]
4813,63.625,25.875,2013-05-29,2013-05-29,1,0.09999999999999998,0.09999999999999998,5.5805845,4.1557455,1.424839,[616]
4814,63.625,25.875,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.424525,3.3057911,1.1187336,[845]
4815,63.625,25.875,2018-07-16,2018-08-01,3,0.3666666666666666,0.13333333333333333,7.8565807,7.3705297,0.48605093,[852 853 854]
4816,63.625,25.875,2018-09-02,2018-09-02,1,0.09999999999999999,0.09999999999999999,4.594443,4.134918,0.45952463,[858]
4817,63.625,26.125,2013-05-29,2013-05-29,1,0.09999999999999998,0.09999999999999998,5.892786,4.2378674,1.6549187,[616]
4818,63.625,26.125,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.67588,3.4123387,1.2635412,[845]
4819,63.625,26.125,2018-07-16,2018-08-01,3,0.3666666666666666,0.13333333333333333,8.197991,7.568319,0.6296727,[852 853 854]
4820,63.625,26.125,2018-09-02,2018-09-02,1,0.06666666666666665,0.06666666666666665,4.706345,4.231475,0.4748702,[858]
4821,63.625,26.375,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,6.7507677,5.007186,1.743582,[616 617]
4822,63.625,26.375,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.671035,3.46743,1.2036047,[845]
4823,63.625,26.375,2018-07-16,2018-08-01,3,0.3666666666666666,0.13333333333333333,8.602682,7.930695,0.67198706,[852 853 854]
4824,63.625,26.375,2018-08-25,2018-09-02,2,0.16666666666666663,0.09999999999999999,5.0232754,4.622713,0.40056205,[857 858]
4825,63.625,26.625,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,9.31242,8.166649,1.145771,[483]
4826,63.625,26.625,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,7.000643,5.2556705,1.7449725,[616 617]
4827,63.625,26.625,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.8616734,3.472407,1.3892663,[845]
4828,63.625,26.625,2018-07-16,2018-08-01,3,0.3666666666666666,0.13333333333333333,8.999368,8.148968,0.8503997,[852 853 854]
4829,63.625,26.625,2018-08-25,2018-09-02,2,0.1333333333333333,0.06666666666666665,4.8821964,4.534859,0.34733748,[857 858]
4830,63.625,26.875,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,9.112096,8.062993,1.0491028,[483]
4831,63.625,26.875,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,6.9585123,5.223766,1.7347465,[616 617]
4832,63.625,26.875,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.8807936,3.5283313,1.3524623,[845]
4833,63.625,26.875,2018-07-16,2018-08-01,3,0.3666666666666666,0.13333333333333333,8.767169,8.068526,0.69864416,[852 853 854]
4834,63.625,26.875,2018-08-25,2018-08-25,1,0.06666666666666665,0.06666666666666665,5.444864,5.1994042,0.24545956,[857]
4835,63.625,27.125,2010-07-08,2010-07-08,1,0.09999999999999999,0.09999999999999999,9.52652,8.290652,1.2358675,[483]
4836,63.625,27.125,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,6.9774795,5.2535515,1.723928,[616 617]
4837,63.625,27.125,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.686188,3.465948,1.2202401,[845]
4838,63.625,27.125,2018-07-16,2018-08-01,3,0.36666666666666664,0.16666666666666666,8.818946,8.159005,0.659941,[852 853 854]
4839,63.625,27.125,2018-08-25,2018-08-25,1,0.06666666666666665,0.06666666666666665,5.3100533,4.93862,0.37143326,[857]
4840,63.625,27.375,2010-07-08,2010-07-08,1,0.06666666666666665,0.06666666666666665,9.536413,8.424193,1.1122198,[483]
4841,63.625,27.375,2013-05-29,2013-06-06,2,0.19999999999999996,0.1333333333333333,6.9533415,5.26135,1.6919911,[616 617]
4842,63.625,27.375,2014-08-01,2014-08-01,1,0.03333333333333344,0.03333333333333344,9.302155,8.2017145,1.10044,[670]
4843,63.625,27.375,2018-05-21,2018-05-21,1,0.06666666666666665,0.06666666666666665,4.871455,3.5649152,1.30654,[845]
